customerID,gender,is_male,SeniorCitizen,Partner,has_partner,Dependents,has_dependents,PhoneService,has_phone,InternetService,fiber_optic,OnlineSecurity,has_security,StreamingTV,streams_tv,Contract,is_monthly
5954-BDFSG,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"Two year",0
0434-CSFON,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
1215-FIGMP,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
0526-SXDJP,Male,1,0,Yes,1,No,0,No,0,DSL,0,Yes,1,No,0,"Two year",0
0557-ASKVU,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,No,0,No,0,"One year",0
5698-BQJOH,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
5122-CYFXA,Female,0,0,No,0,No,0,Yes,1,DSL,0,No,0,Yes,1,Month-to-month,1
8627-ZYGSZ,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,"One year",0
3410-YOQBQ,Female,0,0,No,0,No,0,Yes,1,DSL,0,No,0,Yes,1,"Two year",0
3170-NMYVV,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
7410-OIEDU,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
2273-QCKXA,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
0731-EBJQB,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
1891-QRQSA,Male,1,1,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
8028-PNXHQ,Male,1,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
5630-AHZIL,Female,0,0,No,0,Yes,1,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
2673-CXQEU,Female,0,1,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"One year",0
6416-JNVRK,Female,0,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,"One year",0
5590-ZSKRV,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
0191-ZHSKZ,Male,1,1,No,0,No,0,Yes,1,DSL,0,Yes,1,Yes,1,Month-to-month,1
3887-PBQAO,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
5919-TMRGD,Female,0,0,No,0,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
8108-UXRQN,Female,0,0,Yes,1,Yes,1,No,0,DSL,0,Yes,1,Yes,1,Month-to-month,1
9191-MYQKX,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
9919-YLNNG,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
0318-ZOPWS,Female,0,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
4445-ZJNMU,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
4808-YNLEU,Female,0,0,Yes,1,No,0,Yes,1,DSL,0,Yes,1,Yes,1,"One year",0
1862-QRWPE,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
2796-NNUFI,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
3016-KSVCP,Male,1,0,Yes,1,No,0,No,0,DSL,0,No,0,Yes,1,Month-to-month,1
4767-HZZHQ,Male,1,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
2424-WVHPL,Male,1,1,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
7233-PAHHL,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
6067-NGCEU,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
9848-JQJTX,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"Two year",0
8637-XJIVR,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
9803-FTJCG,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,"One year",0
0278-YXOOG,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
3212-KXOCR,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
4598-XLKNJ,Female,0,1,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
6380-ARCEH,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
3679-XASPY,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
7123-WQUHX,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
5386-THSLQ,Female,0,1,Yes,1,No,0,No,0,DSL,0,No,0,Yes,1,"One year",0
3192-NQECA,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"Two year",0
6180-YBIQI,Male,1,0,No,0,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
6728-DKUCO,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"One year",0
9750-BOOHV,Female,0,0,No,0,No,0,No,0,DSL,0,Yes,1,No,0,"One year",0
8597-CWYHH,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
2848-YXSMW,Male,1,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
0486-HECZI,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
4549-ZDQYY,Female,0,0,No,0,No,0,Yes,1,DSL,0,Yes,1,No,0,"One year",0
5712-AHQNN,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
4846-WHAFZ,Female,0,1,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
5256-SKJGO,Female,0,0,Yes,1,Yes,1,No,0,DSL,0,No,0,Yes,1,"Two year",0
3071-VBYPO,Male,1,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
9560-BBZXK,Female,0,0,No,0,No,0,No,0,DSL,0,Yes,1,No,0,"Two year",0
5299-RULOA,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
8402-OOOHJ,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
9445-ZUEQE,Male,1,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
1091-SOZGA,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
2928-HLDBA,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
0404-SWRVG,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
6497-TILVL,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
7219-TLZHO,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
4622-YNKIJ,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
4412-YLTKF,Female,0,1,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
6734-PSBAW,Male,1,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
3930-ZGWVE,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
2639-UGMAZ,Male,1,1,No,0,No,0,No,0,DSL,0,Yes,1,Yes,1,"One year",0
2876-GZYZC,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
6207-WIOLX,Female,0,0,Yes,1,Yes,1,No,0,DSL,0,Yes,1,Yes,1,Month-to-month,1
8587-XYZSF,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,"Two year",0
3091-FYHKI,Male,1,0,No,0,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
2372-HWUHI,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
7799-LGRDP,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
7850-VWJUU,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
3774-VBNXY,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
6217-KDYWC,Male,1,0,No,0,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
0390-DCFDQ,Female,0,1,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
3146-MSEGF,Female,0,1,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
4080-OGPJL,Female,0,0,No,0,No,0,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
1095-WGNGG,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"Two year",0
2636-SJDOU,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,"One year",0
1131-QQZEB,Male,1,1,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
5716-EZXZN,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
6837-BJYDQ,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
2135-RXIHG,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
6440-DKQGE,Male,1,0,No,0,Yes,1,Yes,1,DSL,0,No,0,Yes,1,"One year",0
3466-BYAVD,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
3780-YVMFA,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,No,0,Yes,1,Month-to-month,1
3874-EQOEP,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
1679-JRFBR,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"One year",0
9073-ZZIAY,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
3077-RSNTJ,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
6551-GNYDG,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
9167-APMXZ,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
2749-CTKAJ,Male,1,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
6371-NZYEG,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
7554-NEWDD,Male,1,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
8992-VONJD,Female,0,0,No,0,Yes,1,Yes,1,DSL,0,Yes,1,No,0,Month-to-month,1
0867-MKZVY,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
4482-EWFMI,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
4648-YPBTM,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,"Two year",0
2907-ILJBN,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
6345-FZOQH,Male,1,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
3376-BMGFE,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
5997-OPVFA,Male,1,0,Yes,1,No,0,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
3445-HXXGF,Male,1,1,Yes,1,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
1159-WFSGR,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
7654-YWJUF,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,"One year",0
1875-QIVME,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
6727-IOTLZ,Male,1,0,Yes,1,No,0,Yes,1,DSL,0,No,0,Yes,1,"Two year",0
0691-JVSYA,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
5918-VUKWP,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
1744-JHKYS,Female,0,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
2656-FMOKZ,Female,0,1,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
2070-FNEXE,Female,0,1,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
5947-SGKCL,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
3712-PKXZA,Male,1,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
6317-YPKDH,Female,0,0,No,0,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
6582-OIVSP,Female,0,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
9367-WXLCH,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
5524-KHNJP,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"One year",0
1918-ZBFQJ,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
1024-GUALD,Female,0,0,Yes,1,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
4827-USJHP,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
8167-GJLRN,Male,1,0,No,0,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
0956-SYCWG,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
8017-UVSZU,Female,0,0,Yes,1,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
7100-FQPRV,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,No,0,"One year",0
2472-OVKUP,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
2984-RGEYA,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
9680-NIAUV,Female,0,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
2146-EGVDT,Male,1,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
2604-IJPDU,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
9178-JHUVJ,Male,1,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
6168-YBYNP,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
7255-SSFBC,Male,1,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,"Two year",0
3645-DEYGF,Male,1,0,No,0,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
9323-HGFWY,Female,0,0,Yes,1,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"One year",0
8544-GOQSH,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
3363-DTIVD,Male,1,0,Yes,1,Yes,1,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
7018-WBJNK,Male,1,0,No,0,Yes,1,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
9142-KZXOP,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
7674-YTAFD,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,"One year",0
6348-SNFUS,Male,1,0,Yes,1,Yes,1,No,0,DSL,0,Yes,1,No,0,"Two year",0
1285-OKIPP,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
7825-ECJRF,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,Month-to-month,1
1347-KTTTA,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,"One year",0
7841-TZDMQ,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
4195-NZGTA,Female,0,0,No,0,No,0,No,0,DSL,0,No,0,No,0,Month-to-month,1
7157-SMCFK,Male,1,0,No,0,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
4709-LKHYG,Female,0,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
2504-DSHIH,Male,1,1,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
0699-NDKJM,Female,0,0,Yes,1,No,0,No,0,DSL,0,Yes,1,Yes,1,Month-to-month,1
9286-BHDQG,Male,1,0,Yes,1,Yes,1,No,0,DSL,0,Yes,1,No,0,"Two year",0
0230-WEQUW,Male,1,0,Yes,1,No,0,No,0,DSL,0,Yes,1,Yes,1,"Two year",0
2040-LDIWQ,Male,1,0,Yes,1,Yes,1,Yes,1,DSL,0,No,0,Yes,1,"Two year",0
6496-JDSSB,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,Yes,1,Month-to-month,1
9408-SSNVZ,Female,0,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
4443-EMBNA,Female,0,0,Yes,1,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
6469-MRVET,Male,1,0,Yes,1,Yes,1,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
0742-MOABM,Male,1,0,Yes,1,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
5961-VUSRV,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"One year",0
6778-JFCMK,Male,1,0,No,0,No,0,No,0,DSL,0,Yes,1,Yes,1,"One year",0
6341-JVQGF,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"One year",0
2232-DMLXU,Female,0,0,Yes,1,No,0,Yes,1,DSL,0,No,0,Yes,1,Month-to-month,1
4811-JBUVU,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
0945-TSONX,Female,0,0,Yes,1,Yes,1,Yes,1,DSL,0,Yes,1,Yes,1,"Two year",0
2651-ZCBXV,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,Yes,1,"Two year",0
3316-UWXUY,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
8937-RDTHP,Male,1,0,No,0,No,0,Yes,1,"Fiber optic",1,Yes,1,No,0,Month-to-month,1
7083-MIOPC,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,"Two year",0
1984-GPTEH,Female,0,0,No,0,No,0,Yes,1,No,0,"No internet service",0,"No internet service",0,Month-to-month,1
1251-KRREG,Male,1,0,No,0,No,0,Yes,1,DSL,0,No,0,No,0,Month-to-month,1
0621-JFHOL,Female,0,0,No,0,No,0,No,0,DSL,0,No,0,No,0,"Two year",0
9903-LYSAB,Male,1,0,Yes,1,No,0,Yes,1,"Fiber optic",1,No,0,No,0,Month-to-month,1
