customerID;MonthlyCharges;tenure;Contract;Churn;CustomerValue;RiskLevel
8012-SOUDQ;90.25;43;Month-to-month;No;3880.75;Unknown Risk
9420-LOJKX;99.10;15;Month-to-month;Yes;1486.50;High Risk
6575-SUVOI;69.50;25;Month-to-month;No;1737.50;Unknown Risk
7495-OOKFY;80.65;8;Month-to-month;Yes;645.20;High Risk
4667-QONEA;74.85;60;One year;No;4491.00;Low Risk
1658-BYGOY;95.45;18;Month-to-month;Yes;1718.10;High Risk
8769-KKTPH;99.65;63;One year;No;6277.95;Low Risk
5067-XJQFU;108.45;66;One year;No;7157.70;Low Risk
3957-SQXML;24.95;34;Two year;No;848.30;Low Risk
5954-BDFSG;107.50;72;Two year;No;7740.00;Low Risk
0434-CSFON;100.50;47;Month-to-month;No;4723.50;Unknown Risk
1215-FIGMP;89.90;60;Month-to-month;No;5394.00;Unknown Risk
0526-SXDJP;42.10;72;Two year;No;3031.20;Low Risk
0557-ASKVU;54.40;18;One year;No;979.20;Low Risk
5698-BQJOH;94.40;9;Month-to-month;Yes;849.60;High Risk
5122-CYFXA;75.30;3;Month-to-month;No;225.90;Medium Risk
8627-ZYGSZ;78.90;47;One year;No;3708.30;Low Risk
3410-YOQBQ;79.20;31;Two year;No;2455.20;Low Risk
3170-NMYVV;20.15;50;Two year;No;1007.50;Low Risk
7410-OIEDU;79.85;10;Month-to-month;No;798.50;Medium Risk
2273-QCKXA;49.05;1;Month-to-month;No;49.05;Medium Risk
0731-EBJQB;20.40;52;One year;No;1060.80;Low Risk
1891-QRQSA;111.60;64;Two year;No;7142.40;Low Risk
8028-PNXHQ;24.25;62;Two year;No;1503.50;Low Risk
5630-AHZIL;64.50;3;Month-to-month;No;193.50;Medium Risk
2673-CXQEU;110.50;56;One year;No;6188.00;Low Risk
6416-JNVRK;55.65;46;One year;No;2559.90;Low Risk
5590-ZSKRV;54.65;8;Month-to-month;No;437.20;Medium Risk
0191-ZHSKZ;74.75;30;Month-to-month;No;2242.50;Unknown Risk
3887-PBQAO;25.90;45;One year;No;1165.50;Low Risk
5919-TMRGD;79.35;1;Month-to-month;Yes;79.35;High Risk
8108-UXRQN;50.55;11;Month-to-month;No;556.05;Medium Risk
9191-MYQKX;75.15;7;Month-to-month;Yes;526.05;High Risk
9919-YLNNG;103.80;42;Month-to-month;No;4359.60;Unknown Risk
0318-ZOPWS;20.15;49;Two year;No;987.35;Low Risk
4445-ZJNMU;99.30;9;Month-to-month;No;893.70;Medium Risk
4808-YNLEU;62.15;35;One year;No;2175.25;Low Risk
1862-QRWPE;20.65;48;Two year;No;991.20;Low Risk
2796-NNUFI;19.95;46;Two year;No;917.70;Low Risk
3016-KSVCP;33.75;29;Month-to-month;No;978.75;Unknown Risk
4767-HZZHQ;82.05;30;Month-to-month;No;2461.50;Unknown Risk
2424-WVHPL;74.70;1;Month-to-month;No;74.70;Medium Risk
7233-PAHHL;84.00;66;Two year;No;5544.00;Low Risk
6067-NGCEU;111.05;65;Month-to-month;No;7218.25;Unknown Risk
9848-JQJTX;100.90;72;Two year;No;7264.80;Low Risk
8637-XJIVR;78.95;12;Month-to-month;Yes;947.40;High Risk
9803-FTJCG;66.85;71;One year;No;4746.35;Low Risk
0278-YXOOG;21.май;5;Month-to-month;Yes;105.25;High Risk
3212-KXOCR;21.00;52;Two year;No;1092.00;Low Risk
4598-XLKNJ;98.50;25;Month-to-month;Yes;2462.50;High Risk
6380-ARCEH;20.20;1;Month-to-month;No;20.20;Medium Risk
3679-XASPY;19.45;1;Month-to-month;No;19.45;Medium Risk
7123-WQUHX;95.00;38;One year;No;3610.00;Low Risk
5386-THSLQ;45.55;66;One year;No;3006.30;Low Risk
3192-NQECA;110.00;68;Two year;Yes;7480.00;High Risk
6180-YBIQI;24.30;5;Month-to-month;No;121.50;Medium Risk
6728-DKUCO;104.15;72;One year;No;7498.80;Low Risk
9750-BOOHV;30.15;32;One year;No;964.80;Low Risk
8597-CWYHH;94.35;43;One year;No;4057.05;Low Risk
2848-YXSMW;19.40;72;Two year;No;1396.80;Low Risk
0486-HECZI;96.75;55;Month-to-month;Yes;5321.25;High Risk
4549-ZDQYY;57.95;52;One year;No;3013.40;Low Risk
5712-AHQNN;91.65;43;Month-to-month;No;3940.95;Unknown Risk
4846-WHAFZ;76.50;37;Month-to-month;Yes;2830.50;High Risk
5256-SKJGO;54.60;64;Two year;No;3494.40;Low Risk
3071-VBYPO;89.85;3;Month-to-month;No;269.55;Medium Risk
9560-BBZXK;31.май;36;Two year;No;1117.80;Low Risk
5299-RULOA;100.25;10;Month-to-month;Yes;1002.50;High Risk
8402-OOOHJ;20.65;41;Two year;No;846.65;Low Risk
9445-ZUEQE;85.20;27;Month-to-month;No;2300.40;Unknown Risk
1091-SOZGA;99.80;56;One year;No;5588.80;Low Risk
2928-HLDBA;20.70;6;Month-to-month;No;124.20;Medium Risk
0404-SWRVG;74.40;3;Month-to-month;Yes;223.20;High Risk
6497-TILVL;50.70;7;Month-to-month;No;354.90;Medium Risk
7219-TLZHO;20.85;4;Month-to-month;No;83.40;Medium Risk
4622-YNKIJ;88.95;33;Two year;No;2935.35;Low Risk
4412-YLTKF;78.05;27;Month-to-month;Yes;2107.35;High Risk
6734-PSBAW;23.55;72;Two year;No;1695.60;Low Risk
3930-ZGWVE;19.75;1;Month-to-month;No;19.75;Medium Risk
2639-UGMAZ;56.45;71;One year;No;4007.95;Low Risk
2876-GZYZC;85.95;13;Month-to-month;No;1117.35;Unknown Risk
6207-WIOLX;58.60;25;Month-to-month;Yes;1465.00;High Risk
8587-XYZSF;50.55;67;Two year;No;3386.85;Low Risk
3091-FYHKI;35.45;1;Month-to-month;Yes;35.45;High Risk
2372-HWUHI;44.35;2;Month-to-month;Yes;88.70;High Risk
7799-LGRDP;25.70;43;Two year;No;1105.10;Low Risk
7850-VWJUU;75.00;23;Month-to-month;No;1725.00;Unknown Risk
3774-VBNXY;20.20;64;Two year;No;1292.80;Low Risk
6217-KDYWC;19.60;57;Two year;No;1117.20;Low Risk
0390-DCFDQ;70.45;1;Month-to-month;Yes;70.45;High Risk
3146-MSEGF;88.05;72;Two year;No;6339.60;Low Risk
4080-OGPJL;71.15;8;Month-to-month;Yes;569.20;High Risk
1095-WGNGG;101.05;61;Two year;No;6164.05;Low Risk
2636-SJDOU;84.30;64;One year;No;5395.20;Low Risk
1131-QQZEB;23.95;71;Two year;No;1700.45;Low Risk
5716-EZXZN;99.05;65;Two year;No;6438.25;Low Risk
6837-BJYDQ;19.60;3;One year;No;58.80;Unknown Risk
2135-RXIHG;45.65;1;Month-to-month;Yes;45.65;High Risk
6440-DKQGE;64.50;30;One year;No;1935.00;Low Risk
3466-BYAVD;69.50;15;Month-to-month;No;1042.50;Unknown Risk
3780-YVMFA;68.55;8;Month-to-month;No;548.40;Medium Risk
3874-EQOEP;95.00;7;Month-to-month;Yes;665.00;High Risk
1679-JRFBR;108.15;70;One year;No;7570.50;Low Risk
9073-ZZIAY;86.10;62;Two year;No;5338.20;Low Risk
3077-RSNTJ;19.70;6;Month-to-month;No;118.20;Medium Risk
6551-GNYDG;80.90;14;Month-to-month;No;1132.60;Unknown Risk
9167-APMXZ;84.15;22;Month-to-month;No;1851.30;Unknown Risk
2749-CTKAJ;20.15;22;One year;No;443.30;Low Risk
6371-NZYEG;64.25;16;Two year;No;1028.00;Low Risk
7554-NEWDD;25.70;10;Two year;No;257.00;Unknown Risk
8992-VONJD;56.00;13;Month-to-month;No;728.00;Unknown Risk
0867-MKZVY;82.40;20;Month-to-month;Yes;1648.00;High Risk
4482-EWFMI;69.70;2;Month-to-month;No;139.40;Medium Risk
4648-YPBTM;73.90;53;Two year;No;3916.70;Low Risk
2907-ILJBN;20.60;11;One year;No;226.60;Unknown Risk
6345-FZOQH;19.90;69;Two year;No;1373.10;Low Risk
3376-BMGFE;70.90;4;Month-to-month;Yes;283.60;High Risk
5997-OPVFA;89.05;72;Two year;No;6411.60;Low Risk
3445-HXXGF;45.30;58;Month-to-month;Yes;2627.40;High Risk
1159-WFSGR;20.40;16;Month-to-month;No;326.40;Unknown Risk
7654-YWJUF;84.25;43;One year;No;3622.75;Low Risk
1875-QIVME;104.40;2;Month-to-month;Yes;208.80;High Risk
6727-IOTLZ;81.95;14;Two year;No;1147.30;Low Risk
0691-JVSYA;94.85;53;One year;Yes;5027.05;High Risk
5918-VUKWP;20.55;32;One year;No;657.60;Low Risk
1744-JHKYS;24.70;34;Month-to-month;No;839.80;Unknown Risk
2656-FMOKZ;74.45;15;Month-to-month;Yes;1116.75;High Risk
2070-FNEXE;76.45;7;Month-to-month;Yes;535.15;High Risk
5947-SGKCL;105.35;15;Month-to-month;No;1580.25;Unknown Risk
3712-PKXZA;20.55;61;One year;No;1253.55;Low Risk
6317-YPKDH;29.95;1;Month-to-month;Yes;29.95;High Risk
6582-OIVSP;45.30;1;Month-to-month;No;45.30;Medium Risk
9367-WXLCH;84.50;8;Month-to-month;Yes;676.00;High Risk
5524-KHNJP;74.75;33;One year;No;2466.75;Low Risk
1918-ZBFQJ;79.25;13;Month-to-month;Yes;1030.25;High Risk
1024-GUALD;24.80;1;Month-to-month;Yes;24.80;High Risk
4827-USJHP;51.80;20;Month-to-month;No;1036.00;Unknown Risk
8167-GJLRN;30.40;3;Month-to-month;No;91.20;Medium Risk
0956-SYCWG;19.65;13;One year;No;255.45;Low Risk
8017-UVSZU;56.60;40;Month-to-month;No;2264.00;Unknown Risk
7100-FQPRV;71.90;43;One year;No;3091.70;Low Risk
2472-OVKUP;91.00;6;Month-to-month;Yes;546.00;High Risk
2984-RGEYA;19.75;69;Two year;No;1362.75;Low Risk
9680-NIAUV;109.70;72;Two year;No;7898.40;Low Risk
2146-EGVDT;19.30;59;Two year;No;1138.70;Low Risk
2604-IJPDU;96.55;20;Month-to-month;No;1931.00;Unknown Risk
9178-JHUVJ;24.окт;24;Two year;No;578.40;Low Risk
6168-YBYNP;111.35;59;Month-to-month;No;6569.65;Unknown Risk
7255-SSFBC;112.25;72;Two year;No;8082.00;Low Risk
3645-DEYGF;20.75;1;Month-to-month;No;20.75;Medium Risk
9323-HGFWY;101.90;27;One year;No;2751.30;Low Risk
8544-GOQSH;80.05;14;Month-to-month;No;1120.70;Unknown Risk
3363-DTIVD;105.55;71;Two year;No;7494.05;Low Risk
7018-WBJNK;78.30;13;Month-to-month;No;1017.90;Unknown Risk
9142-KZXOP;68.85;44;Month-to-month;No;3029.40;Unknown Risk
7674-YTAFD;79.95;33;One year;No;2638.35;Low Risk
6348-SNFUS;55.45;72;Two year;No;3992.40;Low Risk
1285-OKIPP;79.90;1;Month-to-month;Yes;79.90;High Risk
7825-ECJRF;106.60;19;Month-to-month;Yes;2025.40;High Risk
1347-KTTTA;102.45;64;One year;No;6556.80;Low Risk
7841-TZDMQ;46.00;2;Month-to-month;Yes;92.00;High Risk
4195-NZGTA;25.25;1;Month-to-month;No;25.25;Medium Risk
7157-SMCFK;19.75;61;Two year;No;1204.75;Low Risk
4709-LKHYG;20.00;29;One year;No;580.00;Low Risk
2504-DSHIH;86.80;23;Month-to-month;No;1996.40;Unknown Risk
0699-NDKJM;58.75;57;Month-to-month;No;3348.75;Unknown Risk
9286-BHDQG;45.25;72;Two year;No;3258.00;Low Risk
0230-WEQUW;56.60;66;Two year;No;3735.60;Low Risk
2040-LDIWQ;84.20;65;Two year;No;5473.00;Low Risk
6496-JDSSB;80.00;8;Month-to-month;No;640.00;Medium Risk
9408-SSNVZ;70.15;4;Month-to-month;Yes;280.60;High Risk
4443-EMBNA;24.75;71;Two year;No;1757.25;Low Risk
6469-MRVET;20.20;1;One year;No;20.20;Unknown Risk
0742-MOABM;50.05;4;Month-to-month;Yes;200.20;High Risk
5961-VUSRV;19.35;12;One year;No;232.20;Low Risk
6778-JFCMK;50.60;24;One year;No;1214.40;Low Risk
6341-JVQGF;81.15;31;One year;No;2515.65;Low Risk
2232-DMLXU;55.20;1;Month-to-month;Yes;55.20;High Risk
4811-JBUVU;89.90;30;Month-to-month;No;2697.00;Unknown Risk
0945-TSONX;85.30;47;Two year;No;4009.10;Low Risk
2651-ZCBXV;108.00;54;Two year;No;5832.00;Low Risk
3316-UWXUY;93.50;50;Month-to-month;No;4675.00;Unknown Risk
8937-RDTHP;84.60;1;Month-to-month;Yes;84.60;High Risk
7083-MIOPC;20.25;72;Two year;No;1458.00;Low Risk
1984-GPTEH;25.15;29;Month-to-month;No;729.35;Unknown Risk
1251-KRREG;54.40;2;Month-to-month;Yes;108.80;High Risk
0621-JFHOL;29.60;10;Two year;No;296.00;Unknown Risk
9903-LYSAB;73.15;18;Month-to-month;No;1316.70;Unknown Risk
0094-OIFMO;95.00;11;Month-to-month;Yes;1045.00;High Risk
9227-UAQFT;19.75;16;Two year;No;316.00;Low Risk
7301-ABVAD;86.60;72;Two year;No;6235.20;Low Risk
6614-FHDBO;109.20;72;Two year;No;7862.40;Low Risk
7576-ASEJU;74.70;41;One year;No;3062.70;Low Risk
9058-HRZSV;94.40;65;Month-to-month;No;6136.00;Unknown Risk
4522-AKYLR;54.80;13;Month-to-month;No;712.40;Unknown Risk
0221-WMXNQ;75.35;4;Month-to-month;No;301.40;Medium Risk
0303-UNCIP;65.00;41;One year;No;2665.00;Low Risk
9947-OTFQU;74.40;15;Month-to-month;Yes;1116.00;High Risk
0322-YINQP;48.55;1;Month-to-month;Yes;48.55;High Risk
0959-WHOKV;99.00;42;One year;No;4158.00;Low Risk
4075-JFPGR;93.50;51;One year;No;4768.50;Low Risk
4629-NRXKX;70.40;2;Month-to-month;Yes;140.80;High Risk
9514-JDSKI;40.20;1;Month-to-month;Yes;40.20;High Risk
3282-ZISZV;83.70;32;One year;No;2678.40;Low Risk
3675-YDUPJ;19.85;10;Month-to-month;No;198.50;Medium Risk
4111-BNXIF;59.55;67;Two year;No;3989.85;Low Risk
7017-VFHAY;115.10;61;Two year;No;7021.10;Low Risk
6655-LHBYW;114.35;50;One year;No;5717.50;Low Risk
4959-JOSRX;44.60;2;Month-to-month;Yes;89.20;High Risk
5046-NUHWD;45.00;29;Month-to-month;No;1305.00;Unknown Risk
7273-TEFQD;41.15;3;Month-to-month;Yes;123.45;High Risk
3606-TWKGI;106.90;13;Month-to-month;Yes;1389.70;High Risk
7529-ZDFXI;89.85;57;Month-to-month;No;5121.45;Unknown Risk
7605-BDWDC;49.85;31;Two year;No;1545.35;Low Risk
1950-KSVVJ;113.30;45;One year;No;5098.50;Low Risk
0123-CRBRT;88.10;61;Two year;No;5374.10;Low Risk
6292-TOSSS;24.90;50;Two year;No;1245.00;Low Risk
3197-ARFOY;105.00;19;Month-to-month;No;1995.00;Unknown Risk
6323-AYBRX;19.35;59;Two year;Yes;1141.65;High Risk
7014-ZZXAW;24.25;71;Two year;No;1721.75;Low Risk
4385-GZQXV;94.45;16;Month-to-month;Yes;1511.20;High Risk
7633-MVPUY;59.75;57;Two year;No;3405.75;Low Risk
6366-ZGQGL;24.80;1;Month-to-month;Yes;24.80;High Risk
4716-HHKQH;107.05;20;Month-to-month;No;2141.00;Unknown Risk
5940-AHUHD;70.60;1;Month-to-month;Yes;70.60;High Risk
6432-TWQLB;85.40;5;Month-to-month;Yes;427.00;High Risk
4484-GLZOU;105.05;52;Month-to-month;Yes;5462.60;High Risk
3179-GBRWV;64.95;21;Month-to-month;No;1363.95;Unknown Risk
8645-KWHJO;55.00;14;Month-to-month;No;770.00;Unknown Risk
4130-MZLCC;50.55;5;Month-to-month;No;252.75;Medium Risk
0314-TKOSI;55.15;6;Month-to-month;No;330.90;Medium Risk
8229-MYEJZ;51.20;10;Month-to-month;No;512.00;Medium Risk
2080-SRCDE;25.40;1;Month-to-month;No;25.40;Medium Risk
9577-WJVCQ;54.45;68;Month-to-month;No;3702.60;Unknown Risk
9512-UIBFX;95.15;18;Month-to-month;Yes;1712.70;High Risk
6202-DYYFX;76.00;22;One year;No;1672.00;Low Risk
3808-HFKDE;44.35;20;Month-to-month;No;887.00;Unknown Risk
5583-SXDAG;70.00;1;Month-to-month;Yes;70.00;High Risk
3488-PGMQJ;74.50;8;Month-to-month;Yes;596.00;High Risk
3580-REOAC;44.85;10;Month-to-month;Yes;448.50;High Risk
7534-BFESC;76.10;24;Month-to-month;Yes;1826.40;High Risk
3727-OWVYD;61.20;35;One year;No;2142.00;Low Risk
2294-SALNE;86.80;23;One year;No;1996.40;Low Risk
4847-TAJYI;89.35;6;Month-to-month;No;536.10;Medium Risk
1563-IWQEX;19.70;12;Month-to-month;No;236.40;Unknown Risk
8203-XJZRC;20.25;1;Month-to-month;No;20.25;Medium Risk
6556-DBKZF;76.05;71;Two year;No;5399.55;Low Risk
6851-WEFYX;100.80;35;Month-to-month;No;3528.00;Unknown Risk
2985-JUUBZ;74.55;40;Month-to-month;No;2982.00;Unknown Risk
6390-DSAZX;73.60;1;Month-to-month;Yes;73.60;High Risk
0895-LMRSF;64.90;23;One year;No;1492.70;Low Risk
8098-LLAZX;95.45;4;Month-to-month;Yes;381.80;High Risk
8266-VBFQL;90.40;4;Month-to-month;No;361.60;Medium Risk
8181-YHCMF;60.30;68;Two year;No;4100.40;Low Risk
2240-HSJQD;81.85;38;Month-to-month;No;3110.30;Unknown Risk
1248-DYXUB;24.80;52;Two year;No;1289.60;Low Risk
0265-EDXBD;74.90;32;Month-to-month;Yes;2396.80;High Risk
4115-BNPJY;75.55;29;Two year;No;2190.95;Low Risk
3167-SNQPL;101.15;38;Month-to-month;No;3843.70;Unknown Risk
4091-TVOCN;78.75;48;One year;No;3780.00;Low Risk
1098-TDVUQ;19.25;1;Month-to-month;No;19.25;Medium Risk
7277-OZCGZ;89.05;22;Month-to-month;No;1959.10;Unknown Risk
1557-EMYVT;115.05;43;Two year;No;4947.15;Low Risk
2799-ARNLO;69.35;5;Month-to-month;No;346.75;Medium Risk
7563-BIUPC;80.60;5;Month-to-month;Yes;403.00;High Risk
5027-YOCXN;110.05;51;One year;No;5612.55;Low Risk
3973-SKMLN;19.90;71;Two year;No;1412.90;Low Risk
2321-OMBXY;80.30;38;One year;Yes;3051.40;High Risk
2840-XANRC;93.15;24;Month-to-month;Yes;2235.60;High Risk
6745-JEFZB;91.50;35;Month-to-month;No;3202.50;Unknown Risk
5020-ZSTTY;82.45;54;One year;Yes;4452.30;High Risk
9880-TDQAC;60.00;72;Two year;No;4320.00;Low Risk
8705-WZCYL;44.80;1;Month-to-month;No;44.80;Medium Risk
7102-JJVTX;48.60;9;One year;No;437.40;Unknown Risk
8626-PTQGE;60.05;69;Two year;No;4143.45;Low Risk
4983-CLMLV;102.70;52;Month-to-month;No;5340.40;Unknown Risk
5701-YVSVF;82.90;11;Month-to-month;No;911.90;Medium Risk
5804-LEPIM;70.35;2;Month-to-month;Yes;140.70;High Risk
5697-GOMBF;35.90;28;Month-to-month;No;1005.20;Unknown Risk
2739-CACDQ;82.65;17;Month-to-month;No;1405.05;Unknown Risk
9385-EHGDO;19.85;35;Two year;No;694.75;Low Risk
9498-FIMXL;19.20;8;One year;No;153.60;Unknown Risk
2379-GYFLQ;94.90;46;One year;No;4365.40;Low Risk
0122-OAHPZ;73.85;7;Month-to-month;Yes;516.95;High Risk
2868-SNELZ;80.60;2;Month-to-month;Yes;161.20;High Risk
4322-RCYMT;75.80;68;One year;Yes;5154.40;High Risk
6680-NENYN;104.60;43;Two year;Yes;4497.80;High Risk
2088-IEBAU;88.15;68;Two year;No;5994.20;Low Risk
7982-VCELR;94.80;36;Month-to-month;No;3412.80;Unknown Risk
1343-EHPYB;103.40;63;Month-to-month;Yes;6514.20;High Risk
6035-BXTTY;54.65;32;Month-to-month;No;1748.80;Unknown Risk
6885-PKOAM;85.75;71;Two year;No;6088.25;Low Risk
7520-HQWJU;67.45;66;Month-to-month;No;4451.70;Unknown Risk
9639-BUJXT;20.50;63;One year;No;1291.50;Low Risk
5924-SNGKP;20.25;41;One year;No;830.25;Low Risk
0021-IKXGC;72.10;1;Month-to-month;No;72.10;Medium Risk
2034-GDRCN;90.40;2;Month-to-month;Yes;180.80;High Risk
8966-SNIZF;19.45;70;Two year;No;1361.50;Low Risk
6243-OZGFH;44.95;23;Month-to-month;No;1033.85;Unknown Risk
4654-DLAMQ;97.00;64;One year;No;6208.00;Low Risk
0513-RBGPE;62.80;37;Two year;No;2323.60;Low Risk
5160-UXJED;44.60;17;One year;No;758.20;Low Risk
4115-NZRKS;89.15;7;Month-to-month;No;624.05;Medium Risk
0219-YTZUE;84.80;4;Month-to-month;Yes;339.20;High Risk
0623-IIHUG;41.90;21;Month-to-month;Yes;879.90;High Risk
4572-DVCGN;80.25;10;Month-to-month;Yes;802.50;High Risk
3351-NGXYI;54.10;16;Month-to-month;No;865.60;Unknown Risk
8984-EYLLL;105.25;64;Two year;No;6736.00;Low Risk
9057-MSWCO;30.75;27;Month-to-month;Yes;830.25;High Risk
9833-TGFHX;97.10;42;One year;No;4078.20;Low Risk
9294-TDIPC;20.20;5;Month-to-month;No;101.00;Medium Risk
5229-DTFYB;98.80;41;Two year;No;4050.80;Low Risk
0104-PPXDV;50.30;58;One year;No;2917.40;Low Risk
5176-LMJXE;20.55;47;Two year;No;965.85;Low Risk
3583-KRKMD;75.90;18;Month-to-month;No;1366.20;Unknown Risk
1010-DIAUQ;96.50;5;Month-to-month;Yes;482.50;High Risk
9069-LGEUL;59.95;23;Month-to-month;No;1378.85;Unknown Risk
7302-ZHMHP;19.15;1;Month-to-month;No;19.15;Medium Risk
9571-EDEBV;98.65;71;One year;No;7004.15;Low Risk
3520-FJGCV;112.60;72;Two year;No;8107.20;Low Risk
6563-VRERX;20.60;33;One year;No;679.80;Low Risk
0259-GBZSH;85.65;2;Month-to-month;Yes;171.30;High Risk
6122-EFVKN;35.75;24;Two year;No;858.00;Low Risk
2805-EDJPQ;99.75;56;One year;No;5586.00;Low Risk
6862-CQUMB;96.10;37;Month-to-month;No;3555.70;Unknown Risk
7156-MXBJE;85.10;43;One year;No;3659.30;Low Risk
6158-HDPXZ;25.35;1;Month-to-month;No;25.35;Medium Risk
9601-BRXPO;104.95;25;Month-to-month;Yes;2623.75;High Risk
2863-IMQDR;89.65;61;Two year;No;5468.65;Low Risk
5686-CMAWK;86.75;17;One year;No;1474.75;Low Risk
5651-CRHKQ;86.20;41;One year;No;3534.20;Low Risk
6905-NIQIN;50.65;1;Month-to-month;Yes;50.65;High Risk
8204-YJCLA;64.80;72;Two year;No;4665.60;Low Risk
5167-ZFFMM;90.85;1;Month-to-month;Yes;90.85;High Risk
6583-SZVGP;108.10;48;Two year;No;5188.80;Low Risk
4895-TMWIR;19.95;11;Month-to-month;Yes;219.45;High Risk
0533-BNWKF;85.45;55;Month-to-month;Yes;4699.75;High Risk
1708-PBBOA;54.75;42;One year;No;2299.50;Low Risk
8782-LKFPK;90.40;44;Month-to-month;No;3977.60;Unknown Risk
5522-JBWMO;44.00;1;Month-to-month;No;44.00;Medium Risk
3597-MVHJT;95.60;27;Month-to-month;No;2581.20;Unknown Risk
9774-NRNAU;84.80;27;Month-to-month;No;2289.60;Unknown Risk
0224-RLWWD;44.30;2;Month-to-month;No;88.60;Medium Risk
9967-ATRFS;19.90;19;Month-to-month;No;378.10;Unknown Risk
3951-NJCVI;95.05;42;Month-to-month;No;3992.10;Unknown Risk
2977-CEBSX;90.05;66;Two year;No;5943.30;Low Risk
0177-PXBAT;109.90;33;Month-to-month;No;3626.70;Unknown Risk
6599-CEBNN;73.95;34;Month-to-month;Yes;2514.30;High Risk
2519-ERQOJ;54.60;33;Month-to-month;No;1801.80;Unknown Risk
5876-QMYLD;20.май;23;One year;No;461.15;Low Risk
2277-AXSDC;19.75;32;One year;No;632.00;Low Risk
9442-JTWDL;20.май;11;One year;No;220.55;Unknown Risk
0979-PHULV;99.45;69;Month-to-month;Yes;6862.05;High Risk
3067-SVMTC;55.90;68;One year;No;3801.20;Low Risk
5495-GPSRW;19.70;20;Two year;No;394.00;Low Risk
7606-BPHHN;19.80;72;Two year;No;1425.60;Low Risk
4742-DRORA;95.40;60;One year;No;5724.00;Low Risk
0111-KLBQG;93.95;32;Month-to-month;No;3006.40;Unknown Risk
4800-VHZKI;19.90;1;Month-to-month;Yes;19.90;High Risk
7989-CHGTL;19.60;1;Month-to-month;Yes;19.60;High Risk
