customerID;MonthlyCharges;tenure;CustomerValue;Churn
5954-BDFSG;107.50;72;7740.00;No
0434-CSFON;100.50;47;4723.50;No
1215-FIGMP;89.90;60;5394.00;No
0526-SXDJP;42.10;72;3031.20;No
0557-ASKVU;54.40;18;979.20;No
5698-BQJOH;94.40;9;849.60;Yes
5122-CYFXA;75.30;3;225.90;No
8627-ZYGSZ;78.90;47;3708.30;No
3410-YOQBQ;79.20;31;2455.20;No
3170-NMYVV;20.15;50;1007.50;No
7410-OIEDU;79.85;10;798.50;No
2273-QCKXA;49.05;1;49.05;No
0731-EBJQB;20.40;52;1060.80;No
1891-QRQSA;111.60;64;7142.40;No
8028-PNXHQ;24.25;62;1503.50;No
5630-AHZIL;64.50;3;193.50;No
2673-CXQEU;110.50;56;6188.00;No
6416-JNVRK;55.65;46;2559.90;No
5590-ZSKRV;54.65;8;437.20;No
0191-ZHSKZ;74.75;30;2242.50;No
3887-PBQAO;25.90;45;1165.50;No
5919-TMRGD;79.35;1;79.35;Yes
8108-UXRQN;50.55;11;556.05;No
9191-MYQKX;75.15;7;526.05;Yes
9919-YLNNG;103.80;42;4359.60;No
0318-ZOPWS;20.15;49;987.35;No
4445-ZJNMU;99.30;9;893.70;No
4808-YNLEU;62.15;35;2175.25;No
1862-QRWPE;20.65;48;991.20;No
2796-NNUFI;19.95;46;917.70;No
3016-KSVCP;33.75;29;978.75;No
4767-HZZHQ;82.05;30;2461.50;No
2424-WVHPL;74.70;1;74.70;No
7233-PAHHL;84.00;66;5544.00;No
6067-NGCEU;111.05;65;7218.25;No
9848-JQJTX;100.90;72;7264.80;No
8637-XJIVR;78.95;12;947.40;Yes
9803-FTJCG;66.85;71;4746.35;No
0278-YXOOG;21.май;5;105.25;Yes
3212-KXOCR;21.00;52;1092.00;No
4598-XLKNJ;98.50;25;2462.50;Yes
6380-ARCEH;20.20;1;20.20;No
3679-XASPY;19.45;1;19.45;No
7123-WQUHX;95.00;38;3610.00;No
5386-THSLQ;45.55;66;3006.30;No
3192-NQECA;110.00;68;7480.00;Yes
6180-YBIQI;24.30;5;121.50;No
6728-DKUCO;104.15;72;7498.80;No
9750-BOOHV;30.15;32;964.80;No
8597-CWYHH;94.35;43;4057.05;No
2848-YXSMW;19.40;72;1396.80;No
0486-HECZI;96.75;55;5321.25;Yes
4549-ZDQYY;57.95;52;3013.40;No
5712-AHQNN;91.65;43;3940.95;No
4846-WHAFZ;76.50;37;2830.50;Yes
5256-SKJGO;54.60;64;3494.40;No
3071-VBYPO;89.85;3;269.55;No
9560-BBZXK;31.май;36;1117.80;No
5299-RULOA;100.25;10;1002.50;Yes
8402-OOOHJ;20.65;41;846.65;No
9445-ZUEQE;85.20;27;2300.40;No
1091-SOZGA;99.80;56;5588.80;No
2928-HLDBA;20.70;6;124.20;No
0404-SWRVG;74.40;3;223.20;Yes
6497-TILVL;50.70;7;354.90;No
7219-TLZHO;20.85;4;83.40;No
4622-YNKIJ;88.95;33;2935.35;No
4412-YLTKF;78.05;27;2107.35;Yes
6734-PSBAW;23.55;72;1695.60;No
3930-ZGWVE;19.75;1;19.75;No
2639-UGMAZ;56.45;71;4007.95;No
2876-GZYZC;85.95;13;1117.35;No
6207-WIOLX;58.60;25;1465.00;Yes
8587-XYZSF;50.55;67;3386.85;No
3091-FYHKI;35.45;1;35.45;Yes
2372-HWUHI;44.35;2;88.70;Yes
7799-LGRDP;25.70;43;1105.10;No
7850-VWJUU;75.00;23;1725.00;No
3774-VBNXY;20.20;64;1292.80;No
6217-KDYWC;19.60;57;1117.20;No
0390-DCFDQ;70.45;1;70.45;Yes
3146-MSEGF;88.05;72;6339.60;No
4080-OGPJL;71.15;8;569.20;Yes
1095-WGNGG;101.05;61;6164.05;No
2636-SJDOU;84.30;64;5395.20;No
1131-QQZEB;23.95;71;1700.45;No
5716-EZXZN;99.05;65;6438.25;No
6837-BJYDQ;19.60;3;58.80;No
2135-RXIHG;45.65;1;45.65;Yes
6440-DKQGE;64.50;30;1935.00;No
3466-BYAVD;69.50;15;1042.50;No
3780-YVMFA;68.55;8;548.40;No
3874-EQOEP;95.00;7;665.00;Yes
1679-JRFBR;108.15;70;7570.50;No
9073-ZZIAY;86.10;62;5338.20;No
3077-RSNTJ;19.70;6;118.20;No
6551-GNYDG;80.90;14;1132.60;No
9167-APMXZ;84.15;22;1851.30;No
2749-CTKAJ;20.15;22;443.30;No
6371-NZYEG;64.25;16;1028.00;No
7554-NEWDD;25.70;10;257.00;No
8992-VONJD;56.00;13;728.00;No
0867-MKZVY;82.40;20;1648.00;Yes
4482-EWFMI;69.70;2;139.40;No
4648-YPBTM;73.90;53;3916.70;No
2907-ILJBN;20.60;11;226.60;No
6345-FZOQH;19.90;69;1373.10;No
3376-BMGFE;70.90;4;283.60;Yes
5997-OPVFA;89.05;72;6411.60;No
3445-HXXGF;45.30;58;2627.40;Yes
1159-WFSGR;20.40;16;326.40;No
7654-YWJUF;84.25;43;3622.75;No
1875-QIVME;104.40;2;208.80;Yes
6727-IOTLZ;81.95;14;1147.30;No
0691-JVSYA;94.85;53;5027.05;Yes
5918-VUKWP;20.55;32;657.60;No
1744-JHKYS;24.70;34;839.80;No
2656-FMOKZ;74.45;15;1116.75;Yes
2070-FNEXE;76.45;7;535.15;Yes
5947-SGKCL;105.35;15;1580.25;No
3712-PKXZA;20.55;61;1253.55;No
6317-YPKDH;29.95;1;29.95;Yes
6582-OIVSP;45.30;1;45.30;No
9367-WXLCH;84.50;8;676.00;Yes
5524-KHNJP;74.75;33;2466.75;No
1918-ZBFQJ;79.25;13;1030.25;Yes
1024-GUALD;24.80;1;24.80;Yes
4827-USJHP;51.80;20;1036.00;No
8167-GJLRN;30.40;3;91.20;No
0956-SYCWG;19.65;13;255.45;No
8017-UVSZU;56.60;40;2264.00;No
7100-FQPRV;71.90;43;3091.70;No
2472-OVKUP;91.00;6;546.00;Yes
2984-RGEYA;19.75;69;1362.75;No
9680-NIAUV;109.70;72;7898.40;No
2146-EGVDT;19.30;59;1138.70;No
2604-IJPDU;96.55;20;1931.00;No
9178-JHUVJ;24.окт;24;578.40;No
6168-YBYNP;111.35;59;6569.65;No
7255-SSFBC;112.25;72;8082.00;No
3645-DEYGF;20.75;1;20.75;No
9323-HGFWY;101.90;27;2751.30;No
8544-GOQSH;80.05;14;1120.70;No
3363-DTIVD;105.55;71;7494.05;No
7018-WBJNK;78.30;13;1017.90;No
9142-KZXOP;68.85;44;3029.40;No
7674-YTAFD;79.95;33;2638.35;No
6348-SNFUS;55.45;72;3992.40;No
1285-OKIPP;79.90;1;79.90;Yes
7825-ECJRF;106.60;19;2025.40;Yes
1347-KTTTA;102.45;64;6556.80;No
7841-TZDMQ;46.00;2;92.00;Yes
4195-NZGTA;25.25;1;25.25;No
7157-SMCFK;19.75;61;1204.75;No
4709-LKHYG;20.00;29;580.00;No
2504-DSHIH;86.80;23;1996.40;No
0699-NDKJM;58.75;57;3348.75;No
9286-BHDQG;45.25;72;3258.00;No
0230-WEQUW;56.60;66;3735.60;No
2040-LDIWQ;84.20;65;5473.00;No
6496-JDSSB;80.00;8;640.00;No
9408-SSNVZ;70.15;4;280.60;Yes
4443-EMBNA;24.75;71;1757.25;No
6469-MRVET;20.20;1;20.20;No
0742-MOABM;50.05;4;200.20;Yes
5961-VUSRV;19.35;12;232.20;No
6778-JFCMK;50.60;24;1214.40;No
6341-JVQGF;81.15;31;2515.65;No
2232-DMLXU;55.20;1;55.20;Yes
4811-JBUVU;89.90;30;2697.00;No
0945-TSONX;85.30;47;4009.10;No
2651-ZCBXV;108.00;54;5832.00;No
3316-UWXUY;93.50;50;4675.00;No
8937-RDTHP;84.60;1;84.60;Yes
7083-MIOPC;20.25;72;1458.00;No
1984-GPTEH;25.15;29;729.35;No
1251-KRREG;54.40;2;108.80;Yes
0621-JFHOL;29.60;10;296.00;No
9903-LYSAB;73.15;18;1316.70;No
0094-OIFMO;95.00;11;1045.00;Yes
9227-UAQFT;19.75;16;316.00;No
7301-ABVAD;86.60;72;6235.20;No
6614-FHDBO;109.20;72;7862.40;No
7576-ASEJU;74.70;41;3062.70;No
9058-HRZSV;94.40;65;6136.00;No
4522-AKYLR;54.80;13;712.40;No
0221-WMXNQ;75.35;4;301.40;No
0303-UNCIP;65.00;41;2665.00;No
9947-OTFQU;74.40;15;1116.00;Yes
0322-YINQP;48.55;1;48.55;Yes
0959-WHOKV;99.00;42;4158.00;No
4075-JFPGR;93.50;51;4768.50;No
4629-NRXKX;70.40;2;140.80;Yes
9514-JDSKI;40.20;1;40.20;Yes
3282-ZISZV;83.70;32;2678.40;No
3675-YDUPJ;19.85;10;198.50;No
4111-BNXIF;59.55;67;3989.85;No
7017-VFHAY;115.10;61;7021.10;No
6655-LHBYW;114.35;50;5717.50;No
4959-JOSRX;44.60;2;89.20;Yes
5046-NUHWD;45.00;29;1305.00;No
7273-TEFQD;41.15;3;123.45;Yes
3606-TWKGI;106.90;13;1389.70;Yes
7529-ZDFXI;89.85;57;5121.45;No
7605-BDWDC;49.85;31;1545.35;No
1950-KSVVJ;113.30;45;5098.50;No
0123-CRBRT;88.10;61;5374.10;No
6292-TOSSS;24.90;50;1245.00;No
3197-ARFOY;105.00;19;1995.00;No
6323-AYBRX;19.35;59;1141.65;Yes
7014-ZZXAW;24.25;71;1721.75;No
4385-GZQXV;94.45;16;1511.20;Yes
7633-MVPUY;59.75;57;3405.75;No
6366-ZGQGL;24.80;1;24.80;Yes
4716-HHKQH;107.05;20;2141.00;No
5940-AHUHD;70.60;1;70.60;Yes
6432-TWQLB;85.40;5;427.00;Yes
4484-GLZOU;105.05;52;5462.60;Yes
3179-GBRWV;64.95;21;1363.95;No
8645-KWHJO;55.00;14;770.00;No
4130-MZLCC;50.55;5;252.75;No
0314-TKOSI;55.15;6;330.90;No
8229-MYEJZ;51.20;10;512.00;No
2080-SRCDE;25.40;1;25.40;No
9577-WJVCQ;54.45;68;3702.60;No
9512-UIBFX;95.15;18;1712.70;Yes
6202-DYYFX;76.00;22;1672.00;No
3808-HFKDE;44.35;20;887.00;No
5583-SXDAG;70.00;1;70.00;Yes
3488-PGMQJ;74.50;8;596.00;Yes
3580-REOAC;44.85;10;448.50;Yes
7534-BFESC;76.10;24;1826.40;Yes
3727-OWVYD;61.20;35;2142.00;No
2294-SALNE;86.80;23;1996.40;No
4847-TAJYI;89.35;6;536.10;No
1563-IWQEX;19.70;12;236.40;No
8203-XJZRC;20.25;1;20.25;No
6556-DBKZF;76.05;71;5399.55;No
6851-WEFYX;100.80;35;3528.00;No
2985-JUUBZ;74.55;40;2982.00;No
6390-DSAZX;73.60;1;73.60;Yes
0895-LMRSF;64.90;23;1492.70;No
8098-LLAZX;95.45;4;381.80;Yes
8266-VBFQL;90.40;4;361.60;No
8181-YHCMF;60.30;68;4100.40;No
2240-HSJQD;81.85;38;3110.30;No
1248-DYXUB;24.80;52;1289.60;No
0265-EDXBD;74.90;32;2396.80;Yes
4115-BNPJY;75.55;29;2190.95;No
3167-SNQPL;101.15;38;3843.70;No
4091-TVOCN;78.75;48;3780.00;No
1098-TDVUQ;19.25;1;19.25;No
7277-OZCGZ;89.05;22;1959.10;No
1557-EMYVT;115.05;43;4947.15;No
2799-ARNLO;69.35;5;346.75;No
7563-BIUPC;80.60;5;403.00;Yes
5027-YOCXN;110.05;51;5612.55;No
3973-SKMLN;19.90;71;1412.90;No
2321-OMBXY;80.30;38;3051.40;Yes
2840-XANRC;93.15;24;2235.60;Yes
6745-JEFZB;91.50;35;3202.50;No
5020-ZSTTY;82.45;54;4452.30;Yes
9880-TDQAC;60.00;72;4320.00;No
8705-WZCYL;44.80;1;44.80;No
7102-JJVTX;48.60;9;437.40;No
8626-PTQGE;60.05;69;4143.45;No
4983-CLMLV;102.70;52;5340.40;No
5701-YVSVF;82.90;11;911.90;No
5804-LEPIM;70.35;2;140.70;Yes
5697-GOMBF;35.90;28;1005.20;No
2739-CACDQ;82.65;17;1405.05;No
9385-EHGDO;19.85;35;694.75;No
9498-FIMXL;19.20;8;153.60;No
2379-GYFLQ;94.90;46;4365.40;No
0122-OAHPZ;73.85;7;516.95;Yes
2868-SNELZ;80.60;2;161.20;Yes
4322-RCYMT;75.80;68;5154.40;Yes
6680-NENYN;104.60;43;4497.80;Yes
2088-IEBAU;88.15;68;5994.20;No
7982-VCELR;94.80;36;3412.80;No
1343-EHPYB;103.40;63;6514.20;Yes
6035-BXTTY;54.65;32;1748.80;No
6885-PKOAM;85.75;71;6088.25;No
7520-HQWJU;67.45;66;4451.70;No
9639-BUJXT;20.50;63;1291.50;No
5924-SNGKP;20.25;41;830.25;No
0021-IKXGC;72.10;1;72.10;No
2034-GDRCN;90.40;2;180.80;Yes
8966-SNIZF;19.45;70;1361.50;No
6243-OZGFH;44.95;23;1033.85;No
4654-DLAMQ;97.00;64;6208.00;No
0513-RBGPE;62.80;37;2323.60;No
5160-UXJED;44.60;17;758.20;No
4115-NZRKS;89.15;7;624.05;No
0219-YTZUE;84.80;4;339.20;Yes
0623-IIHUG;41.90;21;879.90;Yes
4572-DVCGN;80.25;10;802.50;Yes
3351-NGXYI;54.10;16;865.60;No
8984-EYLLL;105.25;64;6736.00;No
9057-MSWCO;30.75;27;830.25;Yes
9833-TGFHX;97.10;42;4078.20;No
9294-TDIPC;20.20;5;101.00;No
5229-DTFYB;98.80;41;4050.80;No
0104-PPXDV;50.30;58;2917.40;No
5176-LMJXE;20.55;47;965.85;No
3583-KRKMD;75.90;18;1366.20;No
1010-DIAUQ;96.50;5;482.50;Yes
9069-LGEUL;59.95;23;1378.85;No
7302-ZHMHP;19.15;1;19.15;No
9571-EDEBV;98.65;71;7004.15;No
3520-FJGCV;112.60;72;8107.20;No
6563-VRERX;20.60;33;679.80;No
0259-GBZSH;85.65;2;171.30;Yes
6122-EFVKN;35.75;24;858.00;No
2805-EDJPQ;99.75;56;5586.00;No
6862-CQUMB;96.10;37;3555.70;No
7156-MXBJE;85.10;43;3659.30;No
6158-HDPXZ;25.35;1;25.35;No
9601-BRXPO;104.95;25;2623.75;Yes
2863-IMQDR;89.65;61;5468.65;No
5686-CMAWK;86.75;17;1474.75;No
5651-CRHKQ;86.20;41;3534.20;No
6905-NIQIN;50.65;1;50.65;Yes
8204-YJCLA;64.80;72;4665.60;No
5167-ZFFMM;90.85;1;90.85;Yes
6583-SZVGP;108.10;48;5188.80;No
4895-TMWIR;19.95;11;219.45;Yes
0533-BNWKF;85.45;55;4699.75;Yes
1708-PBBOA;54.75;42;2299.50;No
8782-LKFPK;90.40;44;3977.60;No
5522-JBWMO;44.00;1;44.00;No
3597-MVHJT;95.60;27;2581.20;No
9774-NRNAU;84.80;27;2289.60;No
0224-RLWWD;44.30;2;88.60;No
9967-ATRFS;19.90;19;378.10;No
3951-NJCVI;95.05;42;3992.10;No
2977-CEBSX;90.05;66;5943.30;No
0177-PXBAT;109.90;33;3626.70;No
6599-CEBNN;73.95;34;2514.30;Yes
2519-ERQOJ;54.60;33;1801.80;No
5876-QMYLD;20.май;23;461.15;No
2277-AXSDC;19.75;32;632.00;No
9442-JTWDL;20.май;11;220.55;No
0979-PHULV;99.45;69;6862.05;Yes
3067-SVMTC;55.90;68;3801.20;No
5495-GPSRW;19.70;20;394.00;No
7606-BPHHN;19.80;72;1425.60;No
4742-DRORA;95.40;60;5724.00;No
0111-KLBQG;93.95;32;3006.40;No
4800-VHZKI;19.90;1;19.90;Yes
7989-CHGTL;19.60;1;19.60;Yes
0334-GDDSO;81.35;3;244.05;Yes
4163-NCJAK;24.45;46;1124.70;No
5233-AOZUF;74.95;29;2173.55;No
5973-EJGDP;87.35;51;4454.85;No
1996-DBMUS;70.65;48;3391.20;No
7916-VCCPB;73.25;16;1172.00;No
4686-GEFRM;98.70;70;6909.00;No
5249-QYHEX;24.80;40;992.00;No
0578-SKVMF;83.30;22;1832.60;Yes
5564-NEMQO;75.30;1;75.30;Yes
2233-FAGXV;24.30;5;121.50;No
5605-IYGFG;69.85;7;488.95;No
7663-ZTEGJ;100.55;29;2915.95;No
3935-TBRZZ;25.70;44;1130.80;No
8111-BKVDS;40.70;10;407.00;No
2055-SIFSS;51.65;55;2840.75;No
2806-MLNTI;105.10;52;5465.20;No
8734-DKSTZ;85.95;10;859.50;No
4360-PNRQB;75.60;18;1360.80;No
6152-ONASV;58.25;68;3961.00;No
9063-ZGTUY;19.40;61;1183.40;Yes
7781-HVGMK;65.20;72;4694.40;No
2181-UAESM;53.45;2;106.90;No
2957-LOLHO;45.40;12;544.80;Yes
6048-NJXHX;19.75;41;809.75;No
2320-SLKMB;44.45;26;1155.70;No
4980-URKXC;20.85;36;750.60;No
4376-KFVRS;114.05;72;8211.60;No
5886-VLQVU;89.85;35;3144.75;No
3577-AMVUX;55.05;1;55.05;No
0771-WLCLA;112.95;16;1807.20;No
5628-RKIFK;101.55;49;4975.95;No
0206-TBWLC;114.65;54;6191.10;No
2937-FTHUR;64.80;18;1166.40;No
1910-FMXJM;80.40;36;2894.40;No
7752-XUSCI;105.90;60;6354.00;Yes
4110-PFEUZ;69.55;1;69.55;Yes
0732-OCQOC;25.май;52;1302.60;No
5168-MSWXT;94.75;8;758.00;No
1090-ESELR;105.50;72;7596.00;No
8592-PLTMQ;24.70;64;1580.80;No
5760-WRAHC;69.75;22;1534.50;No
8847-GEOOQ;60.20;60;3612.00;No
0256-LTHVJ;81.05;28;2269.40;Yes
4785-FCIFB;24.40;61;1488.40;No
8313-NDOIA;104.15;24;2499.60;No
5149-CUZUJ;92.90;28;2601.20;No
0942-KOWSM;80.80;30;2424.00;No
4237-CLSMM;20.00;2;40.00;No
1452-VOQCH;75.10;1;75.10;No
4719-UMSIY;19.65;6;117.90;No
6614-VBEGU;69.45;24;1666.80;No
0880-TKATG;101.15;4;404.60;Yes
3811-VBYBZ;99.80;7;698.60;Yes
1480-BKXGA;116.05;72;8355.60;No
2996-XAUVF;40.05;70;2803.50;No
9076-AXYIK;102.10;64;6534.40;No
5968-XQIVE;89.70;72;6458.40;No
8896-RAZCR;19.90;44;875.60;No
4640-UHDOS;55.95;13;727.35;Yes
4933-IKULF;20.65;17;351.05;No
3583-EKAPL;55.00;1;55.00;Yes
1304-BCCFO;70.05;9;630.45;No
4104-PVRPS;53.60;24;1286.40;No
9399-APLBT;74.70;1;74.70;Yes
2359-KMGLI;80.25;24;1926.00;Yes
3780-DDGSE;76.05;35;2661.75;No
4431-EDMIQ;75.70;7;529.90;No
0306-JAELE;96.10;5;480.50;Yes
6227-HWPWX;69.00;15;1035.00;Yes
0486-LGCCH;19.65;11;216.15;No
0447-BEMNG;45.30;48;2174.40;Yes
4612-SSVHJ;81.45;20;1629.00;No
5168-MQQCA;108.50;72;7812.00;No
5949-XIKAE;83.55;8;668.40;Yes
7971-HLVXI;84.50;72;6084.00;No
9094-AZPHK;100.15;15;1502.25;No
3649-JPUGY;88.60;72;6379.20;No
4472-LVYGI;52.55;0;0.00;No
8372-JUXUI;74.35;1;74.35;Yes
3552-CTCYF;104.80;63;6602.40;No
6778-YSNIH;59.00;2;118.00;No
0388-EOPEX;74.40;2;148.80;Yes
5756-OZRIO;64.05;61;3907.05;No
6579-JPICP;20.40;1;20.40;No
8205-OTCHB;43.75;22;962.50;Yes
4134-BSXLX;60.90;28;1705.20;No
0505-SPOOW;19.80;70;1386.00;No
6235-VDHOM;28.45;5;142.25;Yes
7783-YKGDV;99.70;12;1196.40;Yes
4374-YMUSQ;116.25;34;3952.50;No
4513-CXYIX;80.70;71;5729.70;No
3957-HHLMR;65.20;70;4564.00;No
7803-XOCCZ;84.05;52;4370.60;No
5736-YEJAX;79.45;69;5482.05;No
5609-CEBID;94.10;20;1882.00;Yes
8981-FJGLA;78.00;11;858.00;No
7218-HKQFK;94.20;2;188.40;Yes
4636-QRJKY;80.50;6;483.00;Yes
1135-LMECX;19.85;1;19.85;No
4332-MUOEZ;94.30;20;1886.00;No
8535-SFUTN;106.45;61;6493.45;No
5956-VKDTT;74.35;5;371.75;Yes
8677-HDZEE;105.45;56;5905.20;No
2475-MROZF;95.00;30;2850.00;No
9412-GHEEC;104.80;40;4192.00;Yes
3482-ABPKK;54.30;28;1520.40;No
6705-LXORM;70.05;5;350.25;No
0257-ZESQC;75.20;27;2030.40;Yes
7531-GQHME;20.май;12;240.60;No
5174-ITUMV;105.40;67;7061.80;No
4109-CYRBD;51.60;29;1496.40;No
0913-XWSCN;85.50;55;4702.50;No
6825-UYPFK;75.60;23;1738.80;Yes
8397-MVTAZ;100.05;34;3401.70;Yes
0750-EBAIU;91.25;52;4745.00;No
8606-CIQUL;115.75;72;8334.00;No
3571-DPYUH;94.70;58;5492.60;No
7601-GNDYK;19.60;35;686.00;No
0356-OBMAC;99.90;56;5594.40;No
8067-NIOYM;21.окт;24;506.40;No
1403-GYAFU;20.май;70;1403.50;No
4234-XTNEA;79.95;2;159.90;No
1297-VQDRP;107.15;68;7286.20;No
9282-IZGQK;85.00;1;85.00;Yes
5348-CAGXB;89.55;12;1074.60;No
0621-HJWXJ;81.55;63;5137.65;No
5844-QVTAT;58.45;33;1928.85;No
8905-IAZPF;95.65;69;6599.85;No
5394-MEITZ;80.60;60;4836.00;No
6859-QNXIQ;113.10;72;8143.20;No
2782-LFZVW;58.95;11;648.45;No
2866-IKBTM;19.55;1;19.55;No
1342-JPNKI;86.05;10;860.50;Yes
2817-NTQDO;45.55;13;592.15;Yes
7129-AZJDE;78.95;34;2684.30;No
6986-IJDHX;86.30;39;3365.70;Yes
2560-PPCHE;105.05;65;6828.25;No
4676-MQUEA;101.90;50;5095.00;No
8138-EALND;19.75;15;296.25;No
3580-HYCSP;110.30;72;7941.60;No
1352-HNSAW;115.60;72;8323.20;No
2075-PUEPR;19.35;55;1064.25;No
1982-FEBTD;25.60;23;588.80;No
5301-GAUUY;80.35;32;2571.20;Yes
5791-KAJFD;68.75;56;3850.00;No
2654-VBVPB;19.90;1;19.90;No
1154-HYWWO;70.60;38;2682.80;No
2501-XWWTZ;70.20;11;772.20;No
3716-UVSPD;49.30;1;49.30;No
6815-ABQFQ;107.25;56;6006.00;No
7343-EOBEU;23.60;3;70.80;No
3701-SFMUH;69.70;7;487.90;No
6103-LIANB;99.50;59;5870.50;No
7319-VENRZ;64.30;7;450.10;No
5846-NEQVZ;70.85;71;5030.35;No
6967-QIQRV;101.90;15;1528.50;No
5781-RFZRP;73.50;71;5218.50;No
0939-YAPAF;100.25;35;3508.75;Yes
0308-IVGOK;40.40;11;444.40;No
7293-LSCDV;19.25;60;1155.00;No
7025-WCBNE;59.60;47;2801.20;No
5756-JYOJT;64.90;11;713.90;No
4710-FDUIZ;100.30;56;5616.80;Yes
6030-REHUX;110.85;28;3103.80;No
9548-LIGTA;81.05;61;4944.05;No
5150-LJNSR;98.05;31;3039.55;No
8270-RKSAP;70.50;9;634.50;No
6522-YRBXD;94.55;35;3309.25;No
2640-LYMOV;19.65;2;39.30;No
1218-VKFPE;19.00;12;228.00;Yes
3627-FHKBK;75.30;1;75.30;Yes
2865-TCHJW;89.20;4;356.80;Yes
1423-BMPBQ;19.00;1;19.00;No
2393-DIVAI;20.00;3;60.00;No
5192-EBGOV;85.70;1;85.70;Yes
4568-KNYWR;63.25;52;3289.00;No
8752-IMQOS;20.окт;5;100.50;No
0742-LAFQK;99.15;72;7138.80;No
0795-LAFGP;90.40;71;6418.40;No
0619-OLYUR;111.90;72;8056.80;No
5512-IDZEI;24.90;46;1145.40;No
0459-SPZHJ;83.50;63;5260.50;No
0215-BQKGS;84.30;30;2529.00;No
9244-ZVAPM;45.60;1;45.60;No
0719-SYFRB;61.65;12;739.80;Yes
8208-EUMTE;54.85;16;877.60;No
5172-MIGPM;65.55;4;262.20;No
1710-RCXUS;90.35;51;4607.85;No
0374-FIUCA;20.40;65;1326.00;No
5839-SUYVZ;74.55;16;1192.80;No
5173-ZXXXL;19.95;2;39.90;No
1096-ADRUX;74.25;66;4900.50;No
2001-MCUUW;108.65;46;4997.90;No
2731-GJRDG;109.55;32;3505.60;No
4723-BEGSG;86.65;72;6238.80;No
6516-NKQBO;81.00;38;3078.00;No
8672-OAUPW;47.85;51;2440.35;No
8207-DMRVL;114.55;72;8247.60;No
3419-SNJJD;105.25;65;6841.25;Yes
6543-CPZMK;29.95;9;269.55;Yes
4765-OXPPD;65.00;9;585.00;Yes
2804-ETQDK;20.55;66;1356.30;No
6689-VRRTK;109.80;44;4831.20;No
7138-GIRSH;69.50;50;3475.00;No
9396-ZSFLL;48.85;15;732.75;No
6464-KEXXH;25.25;8;202.00;No
7134-MJPDY;102.85;66;6788.10;No
5240-CAOYT;87.55;57;4990.35;No
4059-IIEBK;78.55;7;549.85;No
4881-JVQOD;34.55;10;345.50;No
0516-UXRMT;92.05;62;5707.10;No
4851-BQDNX;85.05;40;3402.00;No
5148-HKFIR;19.70;20;394.00;No
1009-IRMNA;20.00;7;140.00;Yes
3003-CMDUU;95.15;25;2378.75;No
5016-IBERQ;84.25;23;1937.75;No
6797-UCJHZ;104.60;66;6903.60;No
2469-DTSGX;111.65;72;8038.80;No
